"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Created date","Usages","Fill rate","data_entry_instructions","option_descriptions"
"Cumulative time in ""Booked Surgical (Sales Pipeline)""","hs_v2_cumulative_time_in_decisionmakerboughtin","number","The cumulative time in seconds spent by the deal in the 'Booked Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","5.83%","",""
"Cumulative time in ""Consulted (Sales Pipeline)""","hs_v2_cumulative_time_in_presentationscheduled","number","The cumulative time in seconds spent by the deal in the 'Consulted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","16.58%","",""
"Cumulative time in ""Appointment Scheduled (Sales Pipeline)""","hs_v2_cumulative_time_in_qualifiedtobuy","number","The cumulative time in seconds spent by the deal in the 'Appointment Scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","31.75%","",""
"Date entered ""Deposit Paid (Sales Pipeline)""","hs_v2_date_entered_10405412","datetime","The date and time when the deal entered the 'Deposit Paid' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.07%","",""
"Date entered ""Post Operative Treatment (Sales Pipeline)""","hs_v2_date_entered_10405413","datetime","The date and time when the deal entered the 'Post Operative Treatment' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","6.53%","",""
"Date entered ""Booked Non-Surgical (Sales Pipeline)""","hs_v2_date_entered_29399555","datetime","The date and time when the deal entered the 'Booked Non-Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.17%","",""
"Date entered ""Surgery Qualified (Sales Pipeline)""","hs_v2_date_entered_52381041","datetime","The date and time when the deal entered the 'Surgery Qualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","12.48%","",""
"Date entered ""Surgery Unqualified (Sales Pipeline)""","hs_v2_date_entered_52381042","datetime","The date and time when the deal entered the 'Surgery Unqualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.58%","",""
"Date entered ""Contacted (Sales Pipeline)""","hs_v2_date_entered_appointmentscheduled","datetime","The date and time when the deal entered the 'Contacted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","87.29%","",""
"Date entered ""Lost (Sales Pipeline)""","hs_v2_date_entered_closedlost","datetime","The date and time when the deal entered the 'Lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","62.24%","",""
"Date entered ""Completed Session (Sales Pipeline)""","hs_v2_date_entered_contractsent","datetime","The date and time when the deal entered the 'Completed Session' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","3.93%","",""
"Date entered current stage","hs_v2_date_entered_current_stage","datetime","The date this object entered its current pipeline stage","dealstages","false","","true","true","true","false","false","true","HubSpot","Not applicable","","100%","",""
"Date entered ""Booked Surgical (Sales Pipeline)""","hs_v2_date_entered_decisionmakerboughtin","datetime","The date and time when the deal entered the 'Booked Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","6.76%","",""
"Date entered ""Consulted (Sales Pipeline)""","hs_v2_date_entered_presentationscheduled","datetime","The date and time when the deal entered the 'Consulted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","28.8%","",""
"Date entered ""Appointment Scheduled (Sales Pipeline)""","hs_v2_date_entered_qualifiedtobuy","datetime","The date and time when the deal entered the 'Appointment Scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","38.68%","",""
"Date exited ""Deposit Paid (Sales Pipeline)""","hs_v2_date_exited_10405412","datetime","The date and time when the deal exited the 'Deposit Paid' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.03%","",""
"Date exited ""Post Operative Treatment (Sales Pipeline)""","hs_v2_date_exited_10405413","datetime","The date and time when the deal exited the 'Post Operative Treatment' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.12%","",""
"Date exited ""Booked Non-Surgical (Sales Pipeline)""","hs_v2_date_exited_29399555","datetime","The date and time when the deal exited the 'Booked Non-Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","2.04%","",""
"Date exited ""Surgery Qualified (Sales Pipeline)""","hs_v2_date_exited_52381041","datetime","The date and time when the deal exited the 'Surgery Qualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","7.79%","",""
"Date exited ""Surgery Unqualified (Sales Pipeline)""","hs_v2_date_exited_52381042","datetime","The date and time when the deal exited the 'Surgery Unqualified' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","0.73%","",""
"Date exited ""Contacted (Sales Pipeline)""","hs_v2_date_exited_appointmentscheduled","datetime","The date and time when the deal exited the 'Contacted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","75.45%","",""
"Date exited ""Lost (Sales Pipeline)""","hs_v2_date_exited_closedlost","datetime","The date and time when the deal exited the 'Lost' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","15.35%","",""
"Date exited ""Completed Session (Sales Pipeline)""","hs_v2_date_exited_contractsent","datetime","The date and time when the deal exited the 'Completed Session' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","1.17%","",""
"Date exited ""Booked Surgical (Sales Pipeline)""","hs_v2_date_exited_decisionmakerboughtin","datetime","The date and time when the deal exited the 'Booked Surgical' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","5.83%","",""
"Date exited ""Consulted (Sales Pipeline)""","hs_v2_date_exited_presentationscheduled","datetime","The date and time when the deal exited the 'Consulted' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","16.58%","",""
"Date exited ""Appointment Scheduled (Sales Pipeline)""","hs_v2_date_exited_qualifiedtobuy","datetime","The date and time when the deal exited the 'Appointment Scheduled' stage, 'Sales Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","Not applicable","","31.75%","",""
