currentPath,proposedDomain,proposedPath,runtimeConsumerCount,testConsumerCount,tablesReferenced,serverOnly,mutationBearing,duplicateOf,deletionReason,migrationRisk,proposeReason
src/lib/team/planning/loadPlanningStaffContext.server.ts,planning,src/lib/team/planning/loadPlanningStaffContext.server.ts,0,0,,true,false,,,high,canonical team/planning module
src/lib/team/planning/planningActionFlags.ts,planning,src/lib/team/planning/planningActionFlags.ts,2,0,,false,false,,,high,canonical team/planning module
src/lib/team/planning/planningAttentionReasons.ts,planning,src/lib/team/planning/planningAttentionReasons.ts,2,0,,false,false,,,high,canonical team/planning module
src/lib/team/planning/procedureStaffingIdentityBridge.ts,planning,src/lib/team/planning/procedureStaffingIdentityBridge.ts,0,0,,false,false,,,high,canonical team/planning module
src/lib/team/planning/projectPlanningStaffEntry.test.ts,planning,src/lib/team/planning/projectPlanningStaffEntry.test.ts,0,0,,false,false,,,low,canonical team/planning module
src/lib/team/planning/projectPlanningStaffEntry.ts,planning,src/lib/team/planning/projectPlanningStaffEntry.ts,2,0,,false,false,,,low,canonical team/planning module
src/lib/team/planning/server.ts,planning,src/lib/team/planning/server.ts,1,0,,true,false,,,medium,canonical team/planning module
src/lib/team/planning/types.ts,planning,src/lib/team/planning/types.ts,1,0,,false,false,,,high,canonical team/planning module
src/lib/team/profile/index.ts,shared,src/lib/team/shared/index.ts,0,0,,false,false,,,low,team umbrella / unclassified domain folder
src/lib/team/profile/loadStaffProfileHub.server.ts,shared,src/lib/team/shared/loadStaffProfileHub.server.ts,0,0,,true,false,,,high,team umbrella / unclassified domain folder
src/lib/team/profile/projectStaffProfileHub.test.ts,shared,src/lib/team/shared/projectStaffProfileHub.test.ts,0,0,,false,false,,,low,team umbrella / unclassified domain folder
src/lib/team/profile/projectStaffProfileOverview.ts,shared,src/lib/team/shared/projectStaffProfileOverview.ts,1,0,,false,false,,,low,team umbrella / unclassified domain folder
src/lib/team/profile/server.ts,shared,src/lib/team/shared/server.ts,1,0,,true,false,,,medium,team umbrella / unclassified domain folder
src/lib/team/profile/staffProfileActionFlags.ts,shared,src/lib/team/shared/staffProfileActionFlags.ts,2,0,,false,false,,,high,team umbrella / unclassified domain folder
src/lib/team/profile/staffProfileAttentionReasons.ts,shared,src/lib/team/shared/staffProfileAttentionReasons.ts,2,0,,false,false,,,high,team umbrella / unclassified domain folder
src/lib/team/profile/types.ts,shared,src/lib/team/shared/types.ts,2,0,,false,false,,,high,team umbrella / unclassified domain folder
src/lib/team/roster/index.ts,roster,src/lib/team/roster/index.ts,0,0,,false,false,,,low,canonical team/roster module
src/lib/team/roster/projectRosterStaffEntry.test.ts,roster,src/lib/team/roster/projectRosterStaffEntry.test.ts,0,0,,false,false,,,high,canonical team/roster module
src/lib/team/roster/projectRosterStaffEntry.ts,roster,src/lib/team/roster/projectRosterStaffEntry.ts,0,0,fi_staff,false,false,,,low,canonical team/roster module
src/lib/team/roster/rosterIdentityAttentionReasons.ts,roster,src/lib/team/roster/rosterIdentityAttentionReasons.ts,2,0,,false,false,,,high,canonical team/roster module
src/lib/team/roster/rosterIdentityEligibilityBridge.ts,roster,src/lib/team/roster/rosterIdentityEligibilityBridge.ts,1,0,,false,false,,,high,canonical team/roster module
src/lib/team/roster/types.ts,roster,src/lib/team/roster/types.ts,8,0,,false,false,,,high,canonical team/roster module
